acidity,sweetness,alcohol,quality
7,6,10,good
6,7,9,good
8,5,11,good
7,7,10,good
6,6,10,good
7,5,11,good
8,6,10,good
6,8,9,good
7,6,11,good
8,7,10,good
5,8,8,mid
9,4,12,good
6,7,10,good
7,6,9,good
8,5,11,good
7,7,10,good
6,6,9,mid
7,5,12,good
8,6,9,good
6,8,10,mid
7,6,10,good
8,7,9,good
5,8,9,mid
9,4,11,good
6,7,11,good
7,6,8,mid
8,5,12,good
7,7,9,good
6,6,10,mid
7,5,10,good
8,6,11,good
6,8,9,mid
7,6,9,good
8,7,10,good
5,8,10,mid
9,4,9,good
6,7,12,good
7,6,11,good
8,5,10,good
7,7,9,mid
6,6,11,good
7,5,9,good
8,6,10,mid
6,8,11,good
7,6,10,mid
8,7,9,good
5,8,11,mid
9,4,10,good
6,7,9,mid
7,6,12,good
8,5,9,mid
7,7,11,good
6,6,9,mid
7,5,10,good
8,6,11,mid
6,8,10,good
7,6,11,mid
8,7,9,good
5,8,9,mid
9,4,12,good
6,7,10,mid
7,6,9,good
8,5,11,mid
7,7,10,good
6,6,9,mid
7,5,12,good
8,6,9,mid
6,8,10,good
7,6,10,mid
8,7,9,good
5,8,9,mid
9,4,11,good
6,7,11,mid
7,6,8,good
8,5,12,mid
7,7,9,good
6,6,10,mid
7,5,10,good
8,6,11,mid
6,8,9,good
7,6,9,mid
8,7,10,good
5,8,10,mid
9,4,9,good
6,7,12,mid
7,6,11,good
8,5,10,mid
7,7,9,good
6,6,11,mid
7,5,9,good
8,6,10,mid
6,8,11,good
7,6,10,mid
8,7,9,good
5,8,11,mid
9,4,10,good
6,7,9,mid
7,6,12,good
8,5,9,mid
7,7,11,good
6,6,9,mid
7,5,10,good
8,6,11,mid
6,8,10,good
7,6,11,mid
8,7,9,good
5,8,9,mid
9,4,12,good
6,7,10,mid
7,6,9,good
8,5,11,mid
7,7,10,good
6,6,9,mid
7,5,12,good
8,6,9,mid
6,8,10,good
7,6,10,mid
8,7,9,good
5,8,9,mid
9,4,11,good
6,7,11,mid
7,6,8,good
8,5,12,mid
7,7,9,good
6,6,10,mid
7,5,10,good
8,6,11,mid
6,8,9,good
7,6,9,mid
8,7,10,good
5,8,10,mid
9,4,9,good
6,7,12,mid
7,6,11,good
8,5,10,mid
7,7,9,good
6,6,11,mid
7,5,9,good
8,6,10,mid
6,8,11,good
4,9,7,bad
5,8,6,bad
3,10,8,bad
4,8,7,bad
5,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
5,8,7,bad
4,9,6,bad
3,7,8,bad
4,10,7,bad
5,8,6,bad
3,9,8,bad
4,7,7,bad
6,6,5,bad
2,11,9,bad
